StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q3_NPS_GROUP,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q6,Q7,Q8,Q9,Q10,Q10_11_TEXT,Q11,Q11_12_TEXT,Q12,Q13,Q14_4,Q14_5,Q15
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Course feedback - Overall, I was satisfied with the course",Course feedback - Enrolling in the course was easy,Course feedback - The frequency and timing of communication from PACE was appropriate,Course feedback - I learned what I expected,Course feedback - I will apply what I've learnt in this course,"On a scale from 0-10, how likely are you to recommend this short course to a friend or colleague? - Group","On a scale from 0-10, how likely are you to recommend this short course to a friend or colleague?","Presenter feedback - Overall, the presenter(s) were effective",Presenter feedback - The presenter(s) were knowledgeable of the content being delivered,Presenter feedback - The presenter(s) were able to provide helpful answers to questions asked,Presenter feedback - The course materials provided were useful,"In this course, I really enjoyed:",This course could be improved by:,"Overall, I would recommend:","We are committed to lifelong learning, and likely, you are too! Are you happy to answer a few more questions about your learning experience?","What subject areas would benefit you, and your career, into the future? You can select more than one option. - Selected Choice","What subject areas would benefit you, and your career, into the future? You can select more than one option. - Other, please provide details below - Text",What is the ideal course length for your future studies? You can select more than one option. - Selected Choice,What is the ideal course length for your future studies? You can select more than one option. - Other - Text,What is your attendance preference?,"In the past, we’ve had a wealth of success in holding informative focus groups with our learners (both in-person and virtually) to discuss the overall experience in the course, as well as tapping into the learner as a resource to help inform the direction of other courses.

Are you interested in taking part in a future focus group, up to 2hrs in length?","If you are interested in participating in a focus groups, please provide your name and email address below noting this will remove the anonymity of this survey. - Name","If you are interested in participating in a focus groups, please provide your name and email address below noting this will remove the anonymity of this survey. - Email Address","Focus groups can be held in person or online, what would be your preferred option?"
"{""ImportId"":""startDate"",""timeZone"":""Australia/Adelaide""}","{""ImportId"":""endDate"",""timeZone"":""Australia/Adelaide""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Australia/Adelaide""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_13""}","{""ImportId"":""QID2_11""}","{""ImportId"":""QID2_12""}","{""ImportId"":""QID2_6""}","{""ImportId"":""QID2_9""}","{""ImportId"":""QID5_NPS_GROUP""}","{""ImportId"":""QID5""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID8_8""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID31_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID35""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_11_TEXT""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_12_TEXT""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID30_4""}","{""ImportId"":""QID30_5""}","{""ImportId"":""QID37""}"
2/7/2024 16:09,2/7/2024 16:10,IP Address,,100,74,TRUE,2/7/2024 16:10,R_4mdD7q3uRdx7uP2,,,,,-34.8966,138.573,qr,EN,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Passive,7,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,,,,No,,,,,,,,,
2/7/2024 16:10,2/7/2024 16:11,IP Address,,100,75,TRUE,2/7/2024 16:11,R_40dh5iriivRy5G3,,,,,-34.8966,138.573,qr,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Promoter,10,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Examples from the presenter,,Yes,No,,,,,,,,,
2/7/2024 16:09,2/7/2024 16:11,IP Address,,100,122,TRUE,2/7/2024 16:11,R_4sykXT16IkHARlx,,,,,-34.9122,138.5202,qr,EN,Strongly agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Strongly agree,Passive,8,Strongly agree,Strongly agree,Strongly agree,Strongly agree,I really enjoyed the open communication and the confidence I was able to walk away with,Couple more snacks 🫣,"Keep doing what you’re doing, thank you!",Yes,"Communication and Writing,Leadership and Management,Career and Wellness",,2-4 hours,,"Online, self-paced",No,,,
2/7/2024 16:10,2/7/2024 16:11,IP Address,,100,58,TRUE,2/7/2024 16:11,R_4r0ddV2rIyczvBT,,,,,-34.9274,138.6005,qr,EN,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Promoter,9,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,No,,,,,,,,,
2/7/2024 16:09,2/7/2024 16:11,IP Address,,100,132,TRUE,2/7/2024 16:11,R_4CmhAPlQjJBSEZK,,,,,-34.9281,138.5999,qr,EN,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Passive,8,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,No,,,,,,,,,
2/7/2024 16:09,2/7/2024 16:12,IP Address,,100,149,TRUE,2/7/2024 16:12,R_4e8miSo50ptbvG6,,,,,-34.9097,138.6374,qr,EN,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Passive,8,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,No,,,,,,,,,
2/7/2024 16:09,2/7/2024 16:12,IP Address,,100,155,TRUE,2/7/2024 16:12,R_42Yi87qEGuUqj2R,,,,,-34.9281,138.5999,qr,EN,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Passive,8,Strongly agree,Strongly agree,Strongly agree,Strongly agree,,,,Yes,Leadership and Management,,4-8 hours,,Any of the above,Maybe,,,Face-to-face in Adelaide
2/7/2024 16:09,2/7/2024 16:12,IP Address,,100,138,TRUE,2/7/2024 16:12,R_4Q2vviGmMxPNXcR,,,,,-34.9426,138.6135,qr,EN,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly agree,Passive,8,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Effective tips and strategies to be implemented. ,N/A,To anyone looking to expand their leadership toolbox or furthering their capacity to effectively manage people,Yes,"Business Management,Leadership and Management",,4-8 hours,,"Online, self-paced",No,,,
